entity,type,desires,fears
peer,concept,"To efficiently route messages to the target peer without the need for periodic checks; Stable kad ID assignment to maintain identity; To have stable and reliable connections with other peers; To efficiently exchange preference lists with other peers to discover taste buddies and receive personalized file recommendations.; To improve download performance by collaborating with friends and social groups; To be able to download file chunks efficiently and contribute to the network by uploading; To download and upload files efficiently; To have high download and upload rates, to be unchoked by other peers, to avoid being snubbed; To be able to connect with other peers and share resources effectively; To maximize download rate by bartering for chunks of files and uploading content while downloading; To maintain stable and reliable connections with other peers; Donating resources, achieving good performance, selecting trusted mediators; To download desired pieces efficiently and quickly; To have access to the rarest pieces of a file to ensure efficient uploading and downloading; To have a high availability of peers to connect with for exchanging Buddycast messages; Consistent participation and engagement in the kad system; To efficiently populate routing tables, share files, and maintain stable connections; To increase content replication in the swarm","Being unable to forward a message to the target peer due to peer churn or network issues; Kad ID aliasing leading to confusion between peers and end-users; To experience frequent changes in IP addresses or kad IDs, leading to instability and difficulty in communication; Losing connection to the overlay swarm or being unable to connect to other peers, resulting in isolation and inability to receive recommendations or collaborate on downloads.; Being unable to fully utilize download capacity due to lack of seeding peers or asymmetric Internet access; Not being able to find bartering partners, experiencing delays in downloading file chunks, or having limited upload bandwidth; Facing slow download speeds, incomplete file downloads, or data integrity issues; To have poor download and upload rates, to be choked by other peers, to be snubbed by other peers; Being isolated or unable to find other peers in the network; Not being able to download without sharing and facing parasitic behavior from other users; Losing connection or experiencing inconsistent connectivity with other peers; Lack of proper incentives, polluted data, network transparency issues; Not being able to download desired pieces due to peers disallowing downloads or not having the pieces they want; Not being able to obtain all pieces of a file, leading to incomplete downloads or inability to share with other peers; To be disconnected from the network or have low availability of peers to connect with; Being seen as short-lived or temporary users, especially in comparison to peers from other countries; High turnover rates of peers affecting network stability and functionality; Inability to coordinate with other peers, leading to competition for content"
Peers in the BitTorrent network,Entities,To have a good download rate while also contributing by uploading to other peers,Being choked by other peers and not receiving fair reciprocation for their upload
BitTorrent's Choking Algorithm,Concept,To achieve pareto efficiency by optimizing upload and download rates among peers,Inefficient resource allocation and poor performance in the network
Peers,concept,"To maintain stable and reliable connections with other peers; Donating resources, achieving good performance, selecting trusted mediators; To download desired pieces efficiently and quickly; To have access to the rarest pieces of a file to ensure efficient uploading and downloading; To have a high availability of peers to connect with for exchanging Buddycast messages; Consistent participation and engagement in the kad system; To efficiently populate routing tables, share files, and maintain stable connections; To increase content replication in the swarm; To efficiently route messages to the target peer without the need for periodic checks; Stable kad ID assignment to maintain identity; To efficiently exchange preference lists with other peers to discover taste buddies and receive personalized file recommendations; To improve download performance by collaborating with friends and social groups; To be able to download file chunks efficiently and contribute to the network by uploading; To have high download and upload rates, to be unchoked by other peers, to avoid being snubbed; To be able to connect with other peers and share resources effectively; To maximize download rate by bartering for chunks of files and uploading content while downloading","Losing connection or experiencing inconsistent connectivity with other peers; Lack of proper incentives, polluted data, network transparency issues; Not being able to download desired pieces due to peers disallowing downloads or not having the pieces they want; Not being able to obtain all pieces of a file, leading to incomplete downloads or inability to share with other peers; To be disconnected from the network or have low availability of peers to connect with; Being seen as short-lived or temporary users, especially in comparison to peers from other countries; High turnover rates of peers affecting network stability and functionality; Inability to coordinate with other peers, leading to competition for content; Being unable to forward a message to the target peer due to peer churn or network issues; Kad ID aliasing leading to confusion between peers and end-users; To experience frequent changes in IP addresses or kad IDs, leading to instability and difficulty in communication; Losing connection to the overlay swarm or being unable to connect to other peers, resulting in isolation and inability to receive recommendations or collaborate on downloads; Being unable to fully utilize download capacity due to lack of seeding peers or asymmetric Internet access; Not being able to find bartering partners, experiencing delays in downloading file chunks, or having limited upload bandwidth; Facing slow download speeds, incomplete file downloads, or data integrity issues; To have poor download and upload rates, to be choked by other peers, to be snubbed by other peers; Being isolated or unable to find other peers in the network; Not being able to download without sharing and facing parasitic behavior from other users"
Pareto Efficiency,Concept,To ensure that all counterparties in the system can make exchanges that make them happier,Inefficiency and unfair distribution of resources among peers
users,individuals,"Guaranteed availability of the P2P system; Access to correct files, high bandwidth, and stable network connections; Efficiently locate and share content, form and maintain communities; Easily download files they want","Disruption of service due to the unavailability of specific peers or central components; Downloading fake files, encountering unreliable peers, and experiencing low download speeds; Inability to coordinate helpers, leading to competition for content; Not being able to find the files they want or facing technical difficulties in the download process"
peers,concept,"To maintain stable and reliable connections with other peers; Donating resources, achieving good performance, selecting trusted mediators; To download desired pieces efficiently and quickly; To have access to the rarest pieces of a file to ensure efficient uploading and downloading; To have a high availability of peers to connect with for exchanging Buddycast messages; Consistent participation and engagement in the kad system; To efficiently populate routing tables, share files, and maintain stable connections; To increase content replication in the swarm; To efficiently route messages to the target peer without the need for periodic checks; Stable kad ID assignment to maintain identity; To efficiently exchange preference lists with other peers to discover taste buddies and receive personalized file recommendations.; To improve download performance by collaborating with friends and social groups; To be able to download file chunks efficiently and contribute to the network by uploading; To download and upload files efficiently; To have high download and upload rates, to be unchoked by other peers, to avoid being snubbed; To be able to connect with other peers and share resources effectively; To maximize download rate by bartering for chunks of files and uploading content while downloading","Losing connection or experiencing inconsistent connectivity with other peers; Lack of proper incentives, polluted data, network transparency issues; Not being able to download desired pieces due to peers disallowing downloads or not having the pieces they want; Not being able to obtain all pieces of a file, leading to incomplete downloads or inability to share with other peers; To be disconnected from the network or have low availability of peers to connect with; Being seen as short-lived or temporary users, especially in comparison to peers from other countries; High turnover rates of peers affecting network stability and functionality; Inability to coordinate with other peers, leading to competition for content; Being unable to forward a message to the target peer due to peer churn or network issues; Kad ID aliasing leading to confusion between peers and end-users; To experience frequent changes in IP addresses or kad IDs, leading to instability and difficulty in communication; Losing connection to the overlay swarm or being unable to connect to other peers, resulting in isolation and inability to receive recommendations or collaborate on downloads.; Being unable to fully utilize download capacity due to lack of seeding peers or asymmetric Internet access; Not being able to find bartering partners, experiencing delays in downloading file chunks, or having limited upload bandwidth; Facing slow download speeds, incomplete file downloads, or data integrity issues; To have poor download and upload rates, to be choked by other peers, to be snubbed by other peers; Being isolated or unable to find other peers in the network; Not being able to download without sharing and facing parasitic behavior from other users"
Legal concepts,Abstract concept,To remain relevant and applicable as society transforms,Becoming obsolete or disconnected from societal needs
Digital Phenomena,Concept,To be regulated and understood within legal frameworks,"Being exploited, hacked, or used for illegal activities"
Technology,Abstract concept,To be utilized effectively for societal progress,Being misused or causing harm to society
Downloaders,Recipient of file pieces from other peers,To receive all pieces of the file in a timely manner,"Losing access to certain pieces if the original seed is taken down, potentially resulting in incomplete downloads"
Trackers,technology,"To help downloaders find each other and facilitate peer connections; To help peers find each other for file sharing; To effectively communicate with peers using BitTorrent protocols, facilitate peer-to-peer connections, and provide statistics for efficient file sharing; To keep track of peers downloading content and respond with peer lists; To be seen as a bulletin board","Being overwhelmed by bandwidth requirements or failing to provide accurate peer information; Being inefficient in peer coordination or failing to connect peers effectively; Being unable to connect with peers, negotiate data transfers, or provide accurate statistics, leading to disruptions in file sharing and download processes; Being overloaded with requests or becoming unavailable, disrupting the download process; Being legally classified as actively involved in copyright infringement"
Fairness mechanism in BitTorrent,algorithm,to promote equitable sharing of files among users downloading the same content,unfair distribution leading to dissatisfaction among users
Central-directory based search facilities,technology,to provide accurate and up-to-date lists of available files for users to download,inaccuracy or outdated information leading to frustration for users
Seed,Peer in the BitTorrent network,To efficiently distribute all parts of the file to downloaders; To share files for free after finishing downloading; To have peers download file chunks from them,"Being overwhelmed by redundant downloads, leading to slower overall download speeds for all peers; Being unable to upload files after downloading or facing low download rates due to lack of seeds; Having many seeders at the start restricting the potential speedup for helpers"
P2P file-sharing system,technology,Efficient and reliable file-sharing with high download speed and availability; Secure and decentralized functionality across peers,"Low download speed, poor availability, or shutdown due to legal issues; Dependency on central elements leading to bottlenecks, failures, or security threats"
Law,Concept,"To provide justice, fairness, and order in society; To be understood and applied in a way that reflects the evolving societal values and needs; To maintain order and enforce copyright protection; To regulate and maintain order in society; To control and regulate digital phenomena, such as file sharing, to protect intellectual property rights; To adapt to technological evolution and digital phenomena","Being misinterpreted, misapplied, or manipulated for personal gain; Being rigidly interpreted based on entrenched metaphors, hindering progress and adaptation; Losing credibility or being undermined by social and cognitive structures; Losing relevance or being ineffective in a rapidly changing digital environment; The decentralization and restructuring of technology platforms like BitTorrent tracker sites, making it difficult to enforce laws and regulate copyright infringement; Failing to keep up with rapid changes in society"
Mirroring system in BitTorrent/Suprnova,P2P file-sharing system,"To balance user requests across mirror sites and efficiently provide .torrent files for download, facilitate fast and fair file-sharing among users, maintain high robustness, and offer a user-friendly interface","System overload or inefficiency causing delays in file downloads, potential shutdown or legal repercussions for facilitating illegal file sharing"
Embodiment,Concept,To be recognized as a fundamental aspect of understanding that borrows concepts from bodily or spatial references to bring order to abstract phenomena,Being overlooked or undervalued in various disciplines and studies
FastTrack,P2P system,"popularity, availability, long content lifetime",high pollution level
BitTorrent Tit-for-Tat Mechanism,Download Incentive System,To incentivize peers to upload by offering faster download speeds in return,Free-riding behavior and insufficient seeding peers leading to slow download speeds
digital society,concept,Seamless integration of technology into daily life,Becoming disconnected or obsolete in a rapidly changing technological landscape
DC,P2P system,"good download performance, long content lifetime","low availability, low popularity"
BitTorrent,File-sharing system,"To achieve popularity through fast download performance and short content injection time, while facilitating efficient file sharing and distribution with decentralization and no reliance on a central tracker or server.","Facing low availability and short content lifetime, technical issues or low adoption rates hindering functionality, centralization and tracking by a central authority, and legal consequences for users."
categories,concept,Clear and distinct boundaries to facilitate easy classification,"Being indistinct or inconsistent, leading to confusion and misinterpretation"
Metaphor,Concept,To be understood and effectively convey meaning in legal contexts; To play a fundamental role in how thinking and meaning-making works; To be recognized as a legitimate aspect of thought and used as a tool for reform; To aid in understanding complex concepts or phenomena; To be understood as an integral part of our conceptual system and how we understand and categorize reality; To facilitate understanding and communication by providing alternative perspectives and meanings; To provide a better understanding of new phenomena; Facilitate understanding of new concepts by relating them to familiar ones,"Being misinterpreted or misused to manipulate legal decisions; Being misunderstood or misinterpreted leading to confusion; Being shunned or disregarded in the analysis process; Being misinterpreted or leading to misunderstandings; Being dismissed as merely language-based and not influential in shaping our perception of the world; Being perceived as literal truth, limiting the ability to challenge established concepts and regulations; Being misinterpreted or hiding the novel aspects of new phenomena; Being misunderstood or misinterpreted, leading to confusion"
Publisher,Entity,To efficiently distribute files to downloaders,Facing challenges in file distribution or not reaching the intended audience
The Pirate Bay (TPB),Digital platform,To be accurately categorized and understood within the legal system; To operate as a legitimate search engine and provide public benefit through primarily lawful activities; To be recognized as a search engine or bulletin board for legal protection under the E-Commerce Directive; To continue facilitating access to digital content without restrictions and to challenge traditional media corporations; To continue operating successfully and facilitating p2p file sharing; Continued growth in visitors and resilience against legal actions; To provide a platform for sharing files and information freely,Being misrepresented or misunderstood in the legal process; Being held liable for illegal uses of its technology and content distribution; Being held liable for copyright violations due to the nature of its service; Being shut down or legally prosecuted for copyright infringement; Closure or blockage by national legal regimes; Facing legal consequences for facilitating copyright infringement
Conceptual Metaphors,Concepts,"To create meaning and aid in understanding new phenomena within legal contexts; To explain digital phenomena through metaphors and skeumorphs, to analyze complex concepts using metaphorical thinking; To explain how expressions are mapped from a source domain to a target domain; To uncover the underlying metaphors and symbols shaping legal decisions","Being misinterpreted or not effectively applied in legal analysis; Misinterpretation of digital phenomena, inability to apply metaphorical thinking effectively; Being disregarded or not taken seriously by the academic community; That decision-making processes remain influenced by unconscious metaphors and myths"
.torrent file,data,To point to a tracker and contain content hashes for verifying data correctness,Being used to distribute fake or low-quality content
Metaphors,Concept,To aid in understanding complex concepts or phenomena; To be understood as an integral part of our conceptual system and how we understand and categorize reality; To facilitate understanding and communication by providing alternative perspectives and meanings; To provide a better understanding of new phenomena; Facilitate understanding of new concepts by relating them to familiar ones; To be understood and effectively convey meaning in legal contexts; To play a fundamental role in how thinking and meaning-making works; To be recognized as a legitimate aspect of thought and used as a tool for reform,"Being misinterpreted or leading to misunderstandings; Being dismissed as merely language-based and not influential in shaping our perception of the world; Being perceived as literal truth, limiting the ability to challenge established concepts and regulations; Being misinterpreted or hiding the novel aspects of new phenomena; Being misunderstood or misinterpreted, leading to confusion; Being misinterpreted or misused to manipulate legal decisions; Being misunderstood or misinterpreted leading to confusion; Being shunned or disregarded in the analysis process"
User,individuals,"To easily download files they want; Guaranteed availability of the P2P system; Access to correct files, high bandwidth, and stable network connections; To efficiently locate and share content, form and maintain communities","Not being able to find the files they want or facing technical difficulties in the download process; Disruption of service due to the unavailability of specific peers or central components; Downloading fake files, encountering unreliable peers, and experiencing low download speeds; Inability to coordinate helpers, leading to competition for content"
skeumorph,Concept,"To create recognition and familiarity in new technology by referencing older versions, aiding in adoption and understanding; Provide familiar cues in unfamiliar domains; To facilitate quick understanding of new phenomena; Innovative use of existing concepts, adaptation to new circumstances","To be misunderstood or misinterpreted, leading to confusion or hindering adoption of new technology; Being ineffective in making new things appear old and familiar; Concealing the unique aspects of new phenomena; Being constrained by past norms and concepts, limitations in understanding new phenomena"
labels and concepts,abstract entities,Clear and effective communication of complex phenomena,Confusion and misunderstanding in describing new phenomena
tracker,technology,"To help peers find each other for efficient file sharing, communicate effectively using BitTorrent protocols, keep track of downloading peers, act as a bulletin board, and facilitate peer connections.","Being inefficient in peer coordination, failing to connect peers effectively, unable to negotiate data transfers, becoming overloaded with requests, facing legal implications, and being overwhelmed by bandwidth requirements."
Optimistic unchoke,Action in BitTorrent protocol,"To find better peers for a choked peer, to improve download rates quickly","Not being able to improve download rates for a choked peer, causing delays in downloading"
seed,Peer in the BitTorrent network,To efficiently distribute all parts of the file to downloaders; To share files for free after finishing downloading; To have peers download file chunks from them,"Being overwhelmed by redundant downloads, leading to slower overall download speeds for all peers; Being unable to upload files after downloading or facing low download rates due to lack of seeds; Having many seeders at the start restricting the potential speedup for helpers"
Internet File-Sharing,Concept,Freedom to share information and media without restrictions,Legal repercussions and restrictions on file-sharing activities
Anti-snubbing mechanism,Feature in BitTorrent protocol,"To prevent peers from getting consistently poor download rates, to optimize download rates by finding better peers","Peers being snubbed and not uploading to each other, leading to slow download rates"
Upload Only,State in BitTorrent protocol,"To utilize available upload capacity efficiently, to prefer peers with better upload rates","Not being able to upload efficiently, not being able to share files with other peers"
Technology Providers,Entity,Innovation and advancement in technology,Being held liable for copyright infringement by users of their technology
Copyright legislation,Concept,To protect intellectual property and ensure creators' rights are respected,Being unable to effectively enforce copyright laws in a digital environment
The Pirate Bay,Digital platform,Continued growth in visitors and resilience against legal actions; To provide a platform for sharing files and information freely; To be accurately categorized and understood within the legal system; To operate as a legitimate search engine and provide public benefit through primarily lawful activities; To be recognized as a search engine or bulletin board for legal protection under the E-Commerce Directive; To continue facilitating access to digital content without restrictions and to challenge traditional media corporations; To continue operating successfully and facilitating p2p file sharing; To operate as a platform for file-sharing and information exchange,Closure or blockage by national legal regimes; Facing legal consequences for facilitating copyright infringement; Being misrepresented or misunderstood in the legal process; Being held liable for illegal uses of its technology and content distribution; Being held liable for copyright violations due to the nature of its service; Being shut down or legally prosecuted for copyright infringement; Being shut down or facing legal repercussions; Legal prosecution and shutdown due to copyright violations
Tracker,technology,"To help peers find each other for efficient file sharing, communicate effectively using BitTorrent protocols, keep track of peers downloading content, act as a bulletin board, and facilitate peer connections.","Being inefficient in peer coordination, failing to connect with peers effectively, becoming overloaded with requests, facing legal consequences for copyright infringement, and being overwhelmed by bandwidth requirements."
Copyright Law,Concept,"To protect intellectual property rights, creative works, and adapt to the digital environment by establishing fair and effective copyright regulations.","Infringement and unauthorized distribution of copyrighted material, inability to address digital challenges and uphold creators' rights, being swayed by misleading metaphors and symbols."
Information society,Societal construct,"To promote the free flow of information, innovation, and digital connectivity","Facing restrictions, censorship, or legal barriers that impede progress and limit access to knowledge"
Digital development,Technological advancement,"To improve efficiency, communication, and accessibility in the digital realm","Causing disruptions, legal conflicts, or ethical dilemmas that hinder progress and innovation"
Intellectual Property,Legal concept,To incentivize innovation and creativity by granting exclusive rights to creators,"Being undermined or devalued in the digital age, leading to a decrease in creative output and economic incentives"
new technological processes and artifacts,concept,To be accepted and utilized by users,Being misinterpreted or ignored by users
Search Engine Function,Technology function,To be primarily used for lawful activities and provide public benefit.,Being associated with illegal distribution of content and facing legal consequences.
conceptual development,concept,To evolve and adapt to new phenomena,Being stagnant or outdated in understanding new concepts
Social and cognitive structures,Abstract concepts or societal norms,"To influence legal interpretations, uphold values like freedom of information",Being disregarded or overridden by legal decisions
Copyright law,Concept,Protection of intellectual property rights; To protect intellectual property and creative works while also adapting to the digital environment; To establish fair and effective copyright regulations that balance the interests of creators and users,Infringement and unauthorized distribution of copyrighted material; Being unable to effectively address the challenges posed by digital technology and failing to uphold the rights of creators; Being swayed by misleading metaphors and symbols that may distort the perception of copyright issues
