entity,type,desires,fears
Suspicious Reviewers,Individuals,To manipulate perceptions and potentially benefit themselves or the reviewed entity; To share genuine experiences and help others,Being exposed as suspicious or fraudulent; Being associated with suspicious behavior or deceptive practices
Fake reviewers (spammers),Group,To boost and vandalize hotels without being detected,Being exposed and facing consequences for their fraudulent activities
hotels,Business,To receive positive reviews and ratings on review websites; To attract genuine guests and receive fair and accurate reviews; To maintain high overall ratings and positive specific ratings in service and rooms; Positive authentic reviews that accurately reflect their service and quality; To have positive reviews that accurately reflect the quality of their services and attract more customers,"To have negative reviews impacting their reputation and business; Being targeted by fraudulent review campaigns or negative manipulation; Receiving negative reviews and low ratings, especially in key areas like service and rooms; Receiving fake negative reviews or being associated with review fraud, which could damage their reputation and business; To be flagged as suspicious for fake reviews, as it can damage their reputation and lead to loss of customers"
Boosting,manipulation tactic,To artificially increase a hotel's ranking on TripAdvisor,Being detected and resulting in penalties or backlash from the platform
"TripAdvisor, Yelp, Agoda, Booking.com",Websites for hotel reviews,To provide authentic and reliable information to users,"Being associated with fraudulent reviews, losing trust of users, and facing legal actions"
TripAdvisor ranking,online review platform metric,To accurately reflect the quality and popularity of hotels based on genuine customer reviews,"Being manipulated by boosting or vandalism campaigns, leading to inaccurate rankings"
Review manipulation,Concept,To go undetected and successfully manipulate online reviews to boost sales of products.,"Being exposed and identified by researchers or platforms, leading to distrust from consumers and potential legal consequences."
TripAdvisor reviewers,group,To provide genuine and helpful reviews for fellow travelers,Being manipulated or influenced by fraudulent activities on the platform
Language model,Algorithm,To accurately detect linguistic patterns and differences to identify fake reviews,"To produce inaccurate results or misclassify genuine reviews as fake, leading to erroneous conclusions"
Customer,Consumers,"To provide accurate and honest ratings; To have a positive experience during their stay at a hotel; Access to trustworthy and reliable information when making decisions; To post reviews about good experiences, complain about bad experiences, support service providers, push for service quality improvements, express personal feelings, and warn future consumers; To have access to genuine and helpful reviews; To find the best attractions, restaurants, and hotels easily and accurately.; To share positive experiences and support service providers, seek out quality services, reduce risks, and express personal positive feelings; Accurate and credible information to make informed decisions; To make informed decisions based on authentic and trustworthy online reviews","Being labeled as suspicious or fake; To have a negative experience during their stay at a hotel; Being misled by fake or manipulative online reviews; Receiving poor service, negative experiences, or being unable to influence service quality or warn others; Being misled by fake or unhelpful reviews; Being misled by fake reviews or unreliable information leading to a poor experience.; Experiencing service failure, spreading negative word-of-mouth, not being able to prevent others from falling into traps, or not being able to warn others; Being misled by biased or untrustworthy reviews, leading to unsatisfactory experiences; Being misled by false or biased online reviews"
Hotels,Business,To receive positive reviews and ratings on review websites; To attract genuine guests and receive fair and accurate reviews; To maintain high overall ratings and positive specific ratings in service and rooms; Positive authentic reviews that accurately reflect their service and quality; To have positive reviews that accurately reflect the quality of their services and attract more customers,"To have negative reviews impacting their reputation and business; Being targeted by fraudulent review campaigns or negative manipulation; Receiving negative reviews and low ratings, especially in key areas like service and rooms; Receiving fake negative reviews or being associated with review fraud, which could damage their reputation and business; To be flagged as suspicious for fake reviews, as it can damage their reputation and lead to loss of customers"
Online reviews,Concept,"Authenticity and transparency in the review system to accurately reflect customers' perceived service quality and satisfaction; Provide accurate and helpful insights for potential customers; Influence consumer purchase decisions positively and help businesses improve; Accurately reflect customers' experiences and opinions; Provide accurate and helpful feedback to assist customers in decision-making; Truthful representation of customer experiences, positive sentiment; Earn higher-level badges, obtain prestigious online badges, post more reviews, support service providers, push for service quality improvements, express personal feelings, and warn future consumers; Support the service provider and push for improvements in service quality, concern for future consumers and their experiences, gain status and reputation","Being manipulated by vendors, publishers, writers, or any third party to falsely boost sales of products, leading to wrong purchase decisions by consumers; Lack of credibility, variability in individual opinions, and difficulty in determining truthfulness; Being negative and spreading bad word-of-mouth, leading to reputation damage for businesses; Being manipulated or misrepresented, leading to loss of credibility; Being manipulated or misinterpreted, leading to inaccurate assessments; Being manipulated or biased, leading to misinformation for consumers; Being manipulated or misused to deceive customers; Inaccuracy, negative sentiment, lack of impact on satisfaction levels; Losing credibility, not being rewarded for their efforts, or being unable to positively influence service quality; Negative word-of-mouth spreading, potential damage to the reputation of a brand or firm"
Vandalism,manipulation tactic,To artificially decrease a hotel's ranking on TripAdvisor,Being detected and resulting in penalties or backlash from the platform
reviewers,Individuals,"To share their experiences and opinions about hotels; To provide accurate and helpful reviews for other consumers; To share their genuine opinions and experiences; To provide accurate and helpful reviews to inform others; To receive accurate and reliable information about hotels and restaurants; To provide honest feedback and help other consumers make informed decisions; To provide honest and accurate ratings based on their experiences; To influence others positively with genuine and accurate reviews; To have a positive impact on product quality perception; To increase their status and reach different levels through posting reviews; To have their reviews considered helpful and receive recognition through badges; To provide honest feedback and contribute to the community by sharing experiences; To have their reviews impact consumer decisions; To provide helpful and valuable information to readers; To earn higher badge levels by posting more reviews and to have their travel experience recognized; Recognition and helpfulness for their reviews; To have a positive experience and provide accurate feedback; To provide accurate and helpful reviews that reflect their experiences; To provide honest feedback about their experience at a hotel; To have their reviews accurately reflected in the reputation model based on their review activity, platform used, content, membership length, and date coherence; To be considered helpful and valuable by readers; To be perceived as helpful and valuable","To have their reviews excluded or not considered valid; Being deceived by fake reviews or receiving negative feedback for their own reviews; Being flagged as potentially fraudulent, having their reviews not published, or being associated with review fraud; Posting low-quality or suspicious reviews that mislead consumers; Being misled by suspicious or contradictory ratings; Being associated with fake or deceptive reviews and losing credibility; Being manipulated or forced to give false ratings, leading to a lack of credibility; Being labeled as manipulators, having their credibility questioned, or causing confusion among readers; Being misled by fake reviews or not being able to identify fake reviews; Being misrepresented or misinterpreted in their reviews; Not being able to provide valuable information to potential customers; Receiving no helpful votes or recognition for their reviews; To be part of a suspicious boosting or vandalism campaign that skews reviews; To be associated with fake reviews or flagged as suspicious, which can harm their credibility and reputation; Being ignored or discredited as a reviewer; To have their reviews ignored or considered less valuable; Not being able to post reviews, not being credited for reviews, or not having their travel experience acknowledged; Losing motivation to contribute or receiving less helpfulness votes; Receiving poor or terrible ratings for their reviews; Being biased or inaccurate due to insufficient data or being excluded from analysis; To have their review misinterpreted or ignored; Having their reviews misrepresented or not considered in the reputation model, leading to inaccurate assessments of restaurants; To be ignored or not contribute to travelers' decision-making process; Being rated as unhelpful or low-quality"
customer,Consumers,"To provide accurate and honest ratings; To have a positive experience during their stay at a hotel; Access to trustworthy and reliable information when making decisions; To post reviews about good experiences, complain about bad experiences, support service providers, push for service quality improvements, express personal feelings, and warn future consumers; To have access to genuine and helpful reviews; To find the best attractions, restaurants, and hotels easily and accurately.; To share positive experiences and support service providers, seek out quality services, reduce risks, and express personal positive feelings; Accurate and credible information to make informed decisions; To make informed decisions based on authentic and trustworthy online reviews","Being labeled as suspicious or fake; To have a negative experience during their stay at a hotel; Being misled by fake or manipulative online reviews; Receiving poor service, negative experiences, or being unable to influence service quality or warn others; Being misled by fake or unhelpful reviews; Being misled by fake reviews or unreliable information leading to a poor experience.; Experiencing service failure, spreading negative word-of-mouth, not being able to prevent others from falling into traps, or not being able to warn others; Being misled by biased or untrustworthy reviews, leading to unsatisfactory experiences; Being misled by false or biased online reviews"
Consumers,Entity,To make informed purchase decisions based on genuine and reliable online reviews; Access to accurate and relevant information about restaurants and product quality; Helpful and credible online reviews to guide decision-making; Access to reliable information for making dining choices; Accurate information and high satisfaction levels,"Being misled by manipulated, false, or inaccurate reviews leading to unsatisfactory purchases; Being misled by fake or biased online reviews; Misleading information, negative reviews, and low satisfaction levels"
Agoda/Booking.com reviewers,group,To have a reliable platform for booking accommodations and sharing honest reviews,Being misled by false information or fake reviews
Reviewer,Individuals,"To provide accurate and helpful reviews; To provide honest feedback and contribute to the community by sharing experiences; To have their reviews impact consumer decisions; To earn higher badge levels by posting more reviews and to have their travel experience recognized; Recognition and helpfulness for their reviews; To have a positive experience and provide accurate feedback; To provide accurate and helpful reviews that reflect their experiences; To provide honest feedback about their experience at a hotel; To have their reviews accurately reflected in the reputation model based on their review activity, platform used, content, membership length, and date coherence; To share their experiences and opinions about hotels; To provide accurate and helpful reviews for other consumers; To share their genuine opinions and experiences; To provide accurate and helpful reviews to inform others; To receive accurate and reliable information about hotels and restaurants; To provide honest feedback and help other consumers make informed decisions; To provide honest and accurate ratings based on their experiences; To influence others positively with genuine and accurate reviews; To provide and receive genuine and helpful reviews; To have a positive impact on product quality perception; To increase their status and reach different levels through posting reviews; To have their reviews considered helpful and receive recognition through badges; To be considered helpful and valuable by readers; To be perceived as helpful and valuable","To be part of a suspicious boosting or vandalism campaign that skews reviews; To be associated with fake reviews or flagged as suspicious, which can harm their credibility and reputation; Being ignored or discredited as a reviewer; To have their reviews ignored or considered less valuable; Not being able to post reviews, not being credited for reviews, or not having their travel experience acknowledged; Losing motivation to contribute or receiving less helpfulness votes; Receiving poor or terrible ratings for their reviews; Being biased or inaccurate due to insufficient data or being excluded from analysis; To have their review misinterpreted or ignored; Having their reviews misrepresented or not considered in the reputation model, leading to inaccurate assessments of restaurants; To have their reviews excluded or not considered valid; Being deceived by fake reviews or receiving negative feedback for their own reviews; Being flagged as potentially fraudulent, having their reviews not published, or being associated with review fraud; Posting low-quality or suspicious reviews that mislead consumers; Being misled by suspicious or contradictory ratings; Being associated with fake or deceptive reviews and losing credibility; Being manipulated or forced to give false ratings, leading to a lack of credibility; Being labeled as manipulators, having their credibility questioned, or causing confusion among readers; Being misled by fake reviews or not being able to identify fake reviews; Being misrepresented or misinterpreted in their reviews; Not being able to provide valuable information to potential customers; Receiving no helpful votes or recognition for their reviews; To be ignored or not contribute to travelers' decision-making process; Being rated as unhelpful or low-quality"
reviewer,Individuals,"To provide accurate and helpful reviews; To provide honest feedback and contribute to the community by sharing experiences; To have their reviews impact consumer decisions; To earn higher badge levels by posting more reviews and to have their travel experience recognized; Recognition and helpfulness for their reviews; To have a positive experience and provide accurate feedback; To provide accurate and helpful reviews that reflect their experiences; To provide honest feedback about their experience at a hotel; To have their reviews accurately reflected in the reputation model based on their review activity, platform used, content, membership length, and date coherence; To share their experiences and opinions about hotels; To provide accurate and helpful reviews for other consumers; To share their genuine opinions and experiences; To provide accurate and helpful reviews to inform others; To receive accurate and reliable information about hotels and restaurants; To provide honest feedback and help other consumers make informed decisions; To provide honest and accurate ratings based on their experiences; To influence others positively with genuine and accurate reviews; To provide and receive genuine and helpful reviews; To have a positive impact on product quality perception; To increase their status and reach different levels through posting reviews; To have their reviews considered helpful and receive recognition through badges; To be considered helpful and valuable by readers; To be perceived as helpful and valuable","To be part of a suspicious boosting or vandalism campaign that skews reviews; To be associated with fake reviews or flagged as suspicious, which can harm their credibility and reputation; Being ignored or discredited as a reviewer; To have their reviews ignored or considered less valuable; Not being able to post reviews, not being credited for reviews, or not having their travel experience acknowledged; Losing motivation to contribute or receiving less helpfulness votes; Receiving poor or terrible ratings for their reviews; Being biased or inaccurate due to insufficient data or being excluded from analysis; To have their review misinterpreted or ignored; Having their reviews misrepresented or not considered in the reputation model, leading to inaccurate assessments of restaurants; To have their reviews excluded or not considered valid; Being deceived by fake reviews or receiving negative feedback for their own reviews; Being flagged as potentially fraudulent, having their reviews not published, or being associated with review fraud; Posting low-quality or suspicious reviews that mislead consumers; Being misled by suspicious or contradictory ratings; Being associated with fake or deceptive reviews and losing credibility; Being manipulated or forced to give false ratings, leading to a lack of credibility; Being labeled as manipulators, having their credibility questioned, or causing confusion among readers; Being misled by fake reviews or not being able to identify fake reviews; Being misrepresented or misinterpreted in their reviews; Not being able to provide valuable information to potential customers; Receiving no helpful votes or recognition for their reviews; To be ignored or not contribute to travelers' decision-making process; Being rated as unhelpful or low-quality"
Industry,Concept,"To ensure the credibility of online reviews for their products or services; To benefit from accurate, reliable, and insightful information from hospitality and tourism online reviews for strategic decision-making and customer satisfaction","Negative impact on consumer trust due to suspicious or unauthentic reviews; Being misled, making poor decisions based on false or manipulated data, leading to negative outcomes or reputational damage"
Commerce platform,Technology,To maintain the authenticity of reviews posted by customers; To facilitate the purchase of tourism products and services based on authentic online reviews; To ensure the authenticity and quality of reviews on their platform; To incentivize reviewers to post valuable content; To provide a trustworthy environment for online transactions,"Review manipulation compromising the credibility of the platform; Being used to manipulate ratings or feedback, leading to a loss of trust from users; Being plagued by fake or low-quality reviews, leading to distrust among users and affecting their business; Being perceived as ineffective or not providing useful features for reviewers; Losing consumer trust due to fraudulent activities or fake reviews"
Companies and employees,Organizations,To have positive online reviews that enhance their reputation and attract more customers,Negative or false online reviews that damage their reputation and deter potential customers
Researchers,Professionals,To develop methods for identifying unauthentic online reviews and improving the reliability of information; To develop effective methods for detecting and preventing opinion spam; To understand the impact of online reviews on consumer behavior; Obtaining reliable data through experiments or questionnaires; To contribute new knowledge and insights to the field of hospitality and tourism research,Inaccurate findings or limited generalizability of their research; Inaccurate results or being misled by deceptive practices; Inaccurate data or biased interpretations leading to flawed conclusions; Biased samples or limited sample sizes affecting the validity of their research findings; Being unable to reach consensus on issues or failing to identify relevant trends in the research field
E-commerce platforms,Technology,To facilitate the purchase of tourism products and services based on authentic online reviews; To ensure the authenticity and quality of reviews on their platform; To incentivize reviewers to post valuable content; To provide a trustworthy environment for online transactions; To maintain the authenticity of reviews posted by customers,"Being used to manipulate ratings or feedback, leading to a loss of trust from users; Being plagued by fake or low-quality reviews, leading to distrust among users and affecting their business; Being perceived as ineffective or not providing useful features for reviewers; Losing consumer trust due to fraudulent activities or fake reviews; Review manipulation compromising the credibility of the platform"
hotels with more reviews,entity,To maintain a high ranking on TripAdvisor and uphold their reputation without resorting to review fraud,Receiving sustained bad reviews that could adversely impact their TripAdvisor ranking
Managers,Professional,"To have accurate and reliable information about online reviews for their hotels or restaurants; To receive accurate feedback on service delivery and quality to improve customer satisfaction; Maintaining a positive online reputation for their business; Successful responses to comments, loyal customers, increased revenue, high satisfaction levels","Being negatively impacted by suspicious or unauthentic reviews on influential platforms; Negative reviews with low ratings reflecting real problems that need to be addressed; Receiving negative online complaints and losing customers; Unsatisfied customers, negative reviews, low future satisfaction levels, ineffective response strategies"
review platforms,concept,to maintain trust and credibility among users,being infiltrated by fake reviews and losing user confidence
customer reviews,Concept,to accurately reflect the quality of products and services; to provide accurate and helpful information to consumers about products and services; to help consumers make informed decisions about where to dine,"being manipulated or falsified by businesses for personal gain; being noisy, difficult to interpret, or based on subjective information that may not reflect the views of the general population; being influenced by fake or misleading reviews"
TripAdvisor,Company,to maintain its position as a trusted source of travel information; to maintain a reputation for providing reliable and credible reviews to users; to provide a reliable source of user-generated reviews for travelers,"losing credibility due to an increase in fake reviews; being associated with fake or low-quality reviews, losing trust from users and impacting their business; having misleading or biased content that affects the credibility of the platform"
fake reviews,Content,To appear genuine and deceive readers; To deceive consumers and potentially benefit the reviewed entity; To deceive users and manipulate perceptions; To mislead consumers and potentially increase sales; To deceive readers and potentially gain rewards or business advantages; To accurately reflect the reviewer's experience and help others make informed decisions,"Being identified as fake and losing credibility; being detected and exposed, leading to loss of credibility; Being identified as deceptive and damaging the reputation of the product or service; Being detected and removed, leading to a loss of influence and potential consequences for the authors; Being dismissed as fake or unreliable"
businesses,concept,to increase revenue and improve reputation,getting caught falsifying reviews and facing negative consequences
Travelers,Individuals,Receiving accurate and honest information about products and services; Having satisfying experiences in hotels and restaurants; Understanding the industry well and having realistic expectations; Having a clear understanding of what to expect when visiting a hotel or restaurant,"Being misled by fake reviews and making poor purchasing decisions; Having poor or terrible experiences and leaving negative reviews; Not knowing who to hold accountable if something goes wrong; Having unrealistic expectations, being disappointed, or not receiving the expected level of service"
highly-ranked hotels,entity,To maintain a high ranking on TripAdvisor and prevent any review fraud,Being linked to suspicious behavior or involved in review fraud
travelers,Individuals,To receive accurate and honest information about products and services; To have satisfying experiences in hotels and restaurants; To have realistic expectations and understand the industry well; To have a clear understanding of what to expect when visiting a hotel or restaurant,"Being misled by fake reviews and making poor purchasing decisions; Having poor or terrible experiences and leaving negative reviews; Not knowing who to hold accountable if something goes wrong; Having unrealistic expectations, being disappointed, or not receiving the expected level of service"
hotels flagged as victims of vandalism,entity,To maintain a genuine reputation and avoid false accusations of manipulation,Continuing to be falsely flagged and associated with malicious activities
Fake Review Writers,Individuals,To deceive readers and potentially gain from their deception; To provide honest feedback and information to readers,Being identified and facing consequences for their dishonesty; Being mistaken for fake review writers or not having their honest reviews valued
Non-Fake Review Writers,Individuals,To provide honest feedback and information to readers; To accurately reflect the reviewer's experience and help others make informed decisions,Being mistaken for fake review writers or not having their honest reviews valued; Being identified and facing consequences for their dishonesty; Being dismissed as fake or unreliable
Customers,Consumers,"Access to trustworthy and reliable information when making decisions; To post reviews about good experiences, complain about bad experiences, support service providers, push for service quality improvements, express personal feelings, and warn future consumers; To have access to genuine and helpful reviews; To find the best attractions, restaurants, and hotels easily and accurately; To share positive experiences and support service providers, seek out quality services, reduce risks, and express personal positive feelings; Accurate and credible information to make informed decisions; To make informed decisions based on authentic and trustworthy online reviews; To provide accurate and honest ratings; To have a positive experience during their stay at a hotel","Being misled by fake or manipulative online reviews; Receiving poor service, negative experiences, or being unable to influence service quality or warn others; Being misled by fake or unhelpful reviews; Being misled by fake reviews or unreliable information leading to a poor experience; Experiencing service failure, spreading negative word-of-mouth, not being able to prevent others from falling into traps, or not being able to warn others; Being misled by biased or untrustworthy reviews, leading to unsatisfactory experiences; Being misled by false or biased online reviews; Being labeled as suspicious or fake; To have a negative experience during their stay at a hotel"
Word Distributions,Statistical Analysis,To accurately represent the frequency and usage of words in reviews,Being skewed or manipulated by fake review writers to deceive readers
Sentiment Analysis,Analytical Method,To accurately assess the sentiment expressed in reviews,Being influenced or distorted by extreme sentiment in fake reviews
Independent Hotels,Business Entities,To compete with chain hotels and attract customers,"Being associated with review fraud, negative reviews, and losing customers"
Hotel Chains,Business Entities,To maintain a positive reputation and attract customers,"Negative reviews, fraud accusations, and loss of trust from customers"
Suspicious Hotel Review Data,Data set,To accurately differentiate between fake and non-fake reviews,Being manipulated by fake review writers and providing misleading information to readers
"Review Aggregators (e.g., Trivago)",Business Entities,To provide accurate and trustworthy information to customers,"Being manipulated by review spam, losing credibility in the market"
Review Fraud,Concept,To deceive customers and manipulate online reviews for personal gain,"Being identified, losing credibility, facing legal consequences"
Franchisees,Business Entities,To uphold the reputation of the brand they are affiliated with,"Negative reviews impacting the overall brand reputation, potential loss of franchise agreement"
Opinion spam,Phenomenon,To go undetected and influence consumer decisions,Being identified as fraudulent and losing credibility
Deceptive opinion spam,Phenomenon,To appear genuine and influence consumer decisions,Being detected as fraudulent and losing credibility
Spammers,Group,To successfully deceive consumers and potentially gain financially,Being caught and facing legal consequences or reputational damage
Hotel Managers,Professionals,To receive positive reviews and high online ratings to attract more customers,Getting negative or fake reviews that could harm their reputation and business
Online Buyers,Consumers,To receive genuine and reliable information to make informed decisions; Accurate and trustworthy online ratings to make informed purchase decisions,"Being misled by fake or manipulated reviews that do not reflect the true quality of a hotel; Being misled by fake or low-quality reviews, wasting time and money on unreliable information"
User,Entity,Accurate and reliable reviews about restaurants,Being misled by fake or biased reviews
Fake reviews,Content,To deceive consumers and potentially benefit the reviewed entity; to manipulate perceptions and potentially increase sales; to gain rewards or business advantages; to help others make informed decisions,Being identified as fake and losing credibility; being exposed and damaging the reputation; being removed and losing influence; being dismissed as fake or unreliable
High Class Hotels,Businesses,To maintain a positive online reputation and secure a high ranking on platforms like TripAdvisor,Being associated with suspicious online ratings that could lower their credibility and affect their competitiveness
Online buyers,Consumers,To receive genuine and reliable information to make informed decisions; Accurate and trustworthy online ratings to make informed purchase decisions,"Being misled by fake or manipulated reviews that do not reflect the true quality of a hotel; Being misled by fake or low-quality reviews, wasting time and money on unreliable information"
Operator,Entity,Positive reviews that reflect the quality of their service,Negative outlier reactions that may harm their reputation
Consumer reviews,Concept,To provide accurate and helpful information to consumers about products and services; To help consumers make informed decisions about where to dine; to accurately reflect the quality of products and services; To alter demand and provide consumers with valuable insights,"Being noisy, difficult to interpret, or based on subjective information that may not reflect the views of the general population; Being influenced by fake or misleading reviews; being manipulated or falsified by businesses for personal gain; Lack of hard evidence on correlation with objective quality measures"
Restaurants,Entity,"Positive reviews and high ratings to attract more customers, increase revenue, and maintain a good reputation; Consistent and accurate ratings reflecting their quality; Positive eWOM spreading based on food quality and good service experiences","Negative reviews, fake reviews, biased reviews, or gaming of the rating system impacting their reputation, revenue, and business negatively"
Yelp,Review Platform,To provide reliable and valuable information to consumers to help them make decisions; To increase user engagement and become a leading source for restaurant reviews; To maintain credibility and trust among users by ensuring the authenticity of reviews,Being held responsible for inaccurate or biased reviews that can harm businesses and consumer trust; False reviews and gaming of the system leading to loss of credibility; Being perceived as biased or unreliable and negatively impacting businesses; To be manipulated by businesses submitting fake reviews; Losing credibility or relevance in the face of competition from other review platforms
reputation model,Concept,To accurately predict and represent the reputation of restaurants based on various parameters and weights; To accurately evaluate the dependability of reviews based on identity proofing and truth of the transaction; To purify review systems from fake reviews and improve the reliability of normalized scores,"Being less accurate than other reputation models and providing misleading information to users; Not being able to effectively combat fake reviews and attacks on the reputation system; Inadequate validation or adoption of the model, leading to continued presence of fake reviews"
Chain restaurants,Business entity,To maintain or increase revenue and market share; To maintain a stable presence in the market and attract customers; To have a smaller impact of Yelp ratings on revenue; To expand their presence in rural areas and along highways,"Decrease in revenue and market share, negative consumer perception; Facing high turnover rates or negative reviews that could harm their reputation; Losing customers to independent restaurants or negative impact from Yelp; That Yelp ratings will have a significant negative impact on their revenue; Decrease in revenue due to higher Yelp penetration or negative reviews; Losing market share to independent restaurants or other types of food establishments"
Consumer,Entity,Access to reliable and accurate information for making informed dining and purchasing choices; Positive experiences with products/services; Access to helpful and credible online reviews to guide decision-making,"Being misled by inaccurate, manipulated, false, or biased information and reviews; Negative experiences with products/services due to misleading information"
Machine learning approaches,methodology,To accurately detect fake reviews and improve the reliability of review systems,Inaccurate or unreliable results leading to continued presence of fake reviews
Yelp users,Consumer,To have access to accurate and helpful restaurant reviews,Receiving biased or misleading information that leads to a negative dining experience
Revenue Data,Data,To accurately reflect the financial performance of businesses,Being misinterpreted or misused in analysis
Econometricians,Professionals,To accurately identify and analyze potential endogeneity issues in their research,To have biased results due to manipulation of ratings or gaming of the system by restaurants
Independent restaurants,Business entity,To increase revenue; Higher Yelp penetration for increased revenue; To attract customers and remain competitive,"Losing customers or receiving negative reviews; Decrease in revenue due to lower Yelp penetration or negative reviews; Underprovision problem, selection of reviewers, and losing customers to chain-affiliated restaurants"
Restaurant,Entity,"Consistent and positive reviews reflecting their quality; Increased revenue and positive Yelp ratings; To attract customers and generate revenue; To have accurate and reliable ratings that reflect their quality and attract more customers; To have positive eWOM spread by customers based on food quality and good service experiences, and to maintain a good reputation","Inconsistent or biased reviews that misrepresent their quality; Negative Yelp ratings and factors that may affect revenue beyond their control; Negative reviews damaging their reputation; Receiving negative reviews, fake reviews, or being targeted by self-promoting and slandering attacks that could harm their reputation; To be negatively affected by fake reviews or gaming of the rating system, leading to loss of revenue and reputation; Negative reviews impacting their business negatively; Receiving negative eWOM, having bad reviews written, or failing to provide quality service"
Spam detection techniques,methodology,To combine review features and reviewer behaviors for enhanced detection of fake reviews,"False positives or false negatives in detecting fake reviews, compromising the integrity of the review system"
Consumer response,Behavior,To react strongly to changes in ratings when there are more total reviews or reviews from elite reviewers,To react weakly to changes in ratings when there is less information available
Graph-theory based approaches,methodology,To uncover relationships between reviews and their authors for better analysis,"Not being able to effectively analyze or interpret the graph relationships, leading to limited insights"
Reputation model,Concept,To accurately predict and represent the reputation of restaurants based on various parameters and weights; To accurately evaluate the dependability of reviews based on identity proofing and truth of the transaction; To purify review systems from fake reviews and improve the reliability of normalized scores,"Being less accurate than other reputation models and providing misleading information to users; Not being able to effectively combat fake reviews and attacks on the reputation system; Inadequate validation or adoption of the model, leading to continued presence of fake reviews"
Reviewer-centric features,feature,To provide additional insights into the authenticity of reviews,"Being unable to accurately extract or interpret these features, leading to misinterpretation of reviews"
Full Service Restaurants,Restaurant Subcategory,To offer a complete dining experience with table service; To provide quick and convenient dining options for customers,Facing competition from limited service restaurants or declining customer satisfaction; Losing customers to full service restaurants or negative reviews impacting their business
"Cafeterias, Grills, and Buffets",Restaurant Subcategory,To provide a diverse range of food choices for customers to serve themselves,Being viewed as subpar or unhygienic by patrons
feedback,information,To accurately reflect the user's experience with a service provider,Being manipulated by users with low trustworthiness or fake transactions
Chain Restaurants,Business entity,To maintain or increase revenue and market share; To maintain a stable presence in the market and attract customers; To have a smaller impact of Yelp ratings on revenue; To expand their presence in rural areas and along highways,"Decrease in revenue and market share, negative consumer perception; Facing high turnover rates or negative reviews that could harm their reputation; Losing customers to independent restaurants or negative impact from Yelp; That Yelp ratings will have a significant negative impact on their revenue; Decrease in revenue due to higher Yelp penetration or negative reviews; Losing market share to independent restaurants or other types of food establishments"
set of travelers,group,To have access to reliable feedback and reviews on service providers,Being misled by fake reviews or inaccurate information
Chain affiliation,Business characteristic,To reduce uncertainty about restaurant quality,Decrease in popularity due to increased information flow from platforms like Yelp
Certified Reviewers,Market actor,Recognition for helpful reviews and credibility in the eyes of readers,Being labeled as unhelpful or losing credibility
Yelp ratings,Information,To accurately reflect customer experiences and provide useful insights for potential customers,"Being manipulated or biased, leading to inaccurate representation of restaurants"
set of service providers,Business,To receive positive feedback and high scores from travelers; Positive reviews to attract customers and build reputation,Receiving fake negative reviews that could harm their reputation; Negative reviews damaging their reputation and driving customers away
Elite reviewers,Internet users,"To have a larger impact on consumer decision-making, earn higher-level and prestigious online badges, post more reviews, support service providers, push for service quality improvements, express personal feelings, warn future consumers, gain status and reputation","Being wrongfully certified or losing influence, losing credibility, not being rewarded for efforts, inability to positively influence service quality, negative word-of-mouth spreading, potential damage to brand or firm reputation"
