entity,type,desires,fears
investors,Entity,To make a profit and have successful investments; To freely engage in trades without restrictions; Profit from market rallies and surges in stock prices; Investors desire to make profits and gain huge potential gains from trading in the market.; To make profitable investments and earn high returns on their portfolios; To achieve large returns; To make informed investment decisions based on accurate information and genuine market conditions; To make profitable trades in the stock market; To make profitable investments and see positive sentiment in the market; Accurate and reliable information about stock value,"To incur large losses and negative exposure in international financial media; Being limited by margin requirements or trading restrictions that hinder their ability to trade freely; Investors fear losses and missing out on opportunities for profits in the market.; To experience losses or negative returns on their investments due to market fluctuations or poor investment decisions; To incur losses; Being misled by false information, rumors, and manipulated stock prices, resulting in financial losses; Making losses, missing out on opportunities, or being unable to recover from poor investment decisions; To incur losses and witness negative sentiment in the market; Making investment decisions based on false information or manipulation"
Stock market indices,Market indicators,Continuous growth and stability in stock prices,Market crashes and volatility
Clearinghouses,Entities responsible for settling trades,To ensure smooth and efficient settlement of trades,"Brokers defaulting on their obligations, leading to a chaotic and unsortable financial mess"
Retail Investors,Group,"To move stock prices and engage in trading for fun and excitement; Achieving notable returns in the stock markets; To have equal opportunity to trade freely without restrictions; To challenge institutional investors and have a fair chance in the market; To identify investment opportunities and generate high returns; Access to products for trading, easy and affordable trading platforms; To make profitable investments and have their voices heard in the market; To influence market prices, particularly small stocks, in the direction of their trades; To be able to move stock prices through collective trading actions; To make profitable trades and increase their wealth; To make profitable investments and see stock prices rise","To lose money and face negative consequences of stock market manipulation; Market instability or crashes leading to significant financial losses; Being disadvantaged or marginalized in the financial markets; Being manipulated or restricted in their trading activities; Being outmatched by institutional investors or facing regulatory backlash; To experience losses, market manipulation, or being targeted by institutional investors; Making losses on trades and misinterpreting market sentiment; Lack of access to trading products, high fees, restrictions on trading platforms; Market manipulation, loss of investments, being overshadowed by institutional investors; Being exploited by manipulative practices of market makers and losing money; To experience negative returns on investments and underperform the market; Making losses due to pushing prices too high or low, subsequent reversals, or providing liquidity to institutions selling overvalued stocks; Not being able to have a significant impact on market prices or facing subsequent reversals in price movements; Being unable to influence stock prices significantly or being overshadowed by institutional investors; Market volatility, economic downturns, and making losses in their investments; Market manipulation and being unable to influence stock prices"
Federal Reserve System,Financial institution,Maintaining economic stability and controlling inflation,Economic recession and financial crises
Short sellers,Concept,To profit from betting on the decline of GME stock; To profit from a decrease in stock prices; Manipulate stock price for personal gain,To be identified and targeted by the WallStreetBets community; Being unable to fulfill their obligations due to extreme increases in trading and option volume; Being forced to cover short positions at a loss; Short squeezes and gamma squeezes that lead to significant losses and forced covering of short positions; Legal consequences for engaging in illegal short sale practices
Trading Platforms,Entity,Manage risk associated with high trading volumes and price fluctuations,Having to impose trading restrictions that could lead to backlash from users and potential loss of trust
Middle-class Americans,Group,Financial stability and growth in the stock market,Economic downturn and loss of investments
Retail investor,Group,"To make profitable investments and see stock prices rise; To move stock prices and engage in trading for fun and excitement; Achieving notable returns in the stock markets; To have access to the same opportunities and influence as institutional investors; To have equal opportunity to trade freely without restrictions; To challenge institutional investors and have a fair chance in the market; To identify investment opportunities and generate high returns; To make profitable trades and accurately gauge market sentiment; To be contrarians over one-week horizons; Access to products for trading, easy and affordable trading platforms; To make profitable investments and have their voices heard in the market; To make profitable investments in the stock market; To make profitable trades and earn positive returns on investments; To make profitable trades and generate positive returns; To influence market prices, particularly small stocks, in the direction of their trades; To be able to move stock prices through collective trading actions; To make profitable trades and increase their wealth","Market manipulation and being unable to influence stock prices; To lose money and face negative consequences of stock market manipulation; Market instability or crashes leading to significant financial losses; Losing money due to not liquidating positions in time or being caught in market manipulations; Being disadvantaged or marginalized in the financial markets; Being manipulated or restricted in their trading activities; Being outmatched by institutional investors or facing regulatory backlash; To experience losses, market manipulation, or being targeted by institutional investors; Making losses on trades and misinterpreting market sentiment; To follow the market trend over short periods; Lack of access to trading products, high fees, restrictions on trading platforms; Market manipulation, loss of investments, being overshadowed by institutional investors; Being exploited by manipulative practices of market makers and losing money; To experience negative returns on investments and underperform the market; Making losses due to pushing prices too high or low, subsequent reversals, or providing liquidity to institutions selling overvalued stocks; Not being able to have a significant impact on market prices or facing subsequent reversals in price movements; Being unable to influence stock prices significantly or being overshadowed by institutional investors; Market volatility, economic downturns, and making losses in their investments"
Short Sellers,Concept,To profit from betting on the decline of GME stock; To profit from a decrease in stock prices; Manipulate stock price for personal gain,To be identified and targeted by the WallStreetBets community; Being unable to fulfill their obligations due to extreme increases in trading and option volume; Being forced to cover short positions at a loss; Short squeezes and gamma squeezes that lead to significant losses and forced covering of short positions; Legal consequences for engaging in illegal short sale practices
House Financial Services Committee,Government committee,To investigate and regulate the financial sector effectively,Not being able to address market manipulation or protect retail investors adequately
Short interest stocks,Concept,Avoiding short squeezes and maintaining market value; Low short interest ratio to avoid potential manipulation and excessive selling pressure,Becoming targets for coordinated buying and price manipulation; High short interest ratio leading to short squeeze and stock price manipulation
Market Makers,Entity,To maintain stability and liquidity in the financial system; Maintain balanced risk exposure; To profit from the bid-ask spread and potentially participate in manipulation schemes; Stability in the stock market to efficiently hedge their exposure; Efficiently hedge their positions; To profit by manipulating the supply and demand of stocks,"The financial system collapsing due to extreme increases in trading volume and short squeezes; Having to buy large amounts of underlying stock due to option price increases; Being involved in illegal activities, losing their market-making privileges, or damaging their reputation; Unpredictable and extreme fluctuations in stock prices that could lead to significant losses; Being exposed to significant risk due to price movements; Regulatory scrutiny and enforcement actions that could prevent manipulative activities"
positive feedback traders,trading strategy,To capitalize on momentum in asset prices and make profitable trades,"Missing out on opportunities, losing money due to sudden market reversals"
Meme stocks,Asset,"To maintain value, a high stock price, and trading volume","Sudden drops in value, negative market sentiment, rapid price fluctuations, sudden collapses, extreme volatility, manipulation"
Hedge funds,Financial entity,To maximize profits and minimize losses; To generate profits for their investors,Suffering significant financial losses due to short squeezes or regulatory scrutiny; Suffering significant losses due to short squeezes or market volatility
Market makers,Entity,To maintain stability and liquidity in the financial system; Maintain balanced risk exposure; To profit from the bid-ask spread and potentially participate in manipulation schemes; Stability in the stock market to efficiently hedge their exposure; Efficiently hedge their positions; To profit by manipulating the supply and demand of stocks,"The financial system collapsing due to extreme increases in trading volume and short squeezes; Having to buy large amounts of underlying stock due to option price increases; Being involved in illegal activities, losing their market-making privileges, or damaging their reputation; Unpredictable and extreme fluctuations in stock prices that could lead to significant losses; Being exposed to significant risk due to price movements; Regulatory scrutiny and enforcement actions that could prevent manipulative activities"
SEC,Regulatory Authority,"To protect retail investors from abusive or manipulative trading activity; To enforce securities laws and prevent market manipulation; To maintain transparency and integrity in the financial markets, protect investors from fraud","Allowing market manipulation or fraudulent practices to go unchecked; Being unable to detect and prosecute all instances of manipulation, leading to market instability; Allowing fraudulent schemes to manipulate stock prices and harm investors"
Researchers,Concept,To understand the dynamics of online communities and their impact on financial markets; Accurate and comprehensive data for analysis,Being unable to accurately analyze and predict the effects of online communities on the market; Making flawed interpretations due to missing or limited data
retail investors,Group,"To move stock prices and engage in trading for fun and excitement; Achieving notable returns in the stock markets; To have access to the same opportunities and influence as institutional investors; To challenge institutional investors and have a fair chance in the market; To identify investment opportunities and generate high returns; To be contrarians over one-week horizons; Access to products for trading, easy and affordable trading platforms; To make profitable investments and have their voices heard in the market; To make profitable trades and earn positive returns on investments; To influence market prices, particularly small stocks, in the direction of their trades; To be able to move stock prices through collective trading actions; To make profitable trades and increase their wealth; To make profitable investments and see stock prices rise","To lose money and face negative consequences of stock market manipulation; Market instability or crashes leading to significant financial losses; Being disadvantaged or marginalized in the financial markets; Being manipulated or restricted in their trading activities; Being outmatched by institutional investors or facing regulatory backlash; To experience losses, market manipulation, or being targeted by institutional investors; Making losses on trades and misinterpreting market sentiment; Lack of access to trading products, high fees, restrictions on trading platforms; Market manipulation, loss of investments, being overshadowed by institutional investors; Being exploited by manipulative practices of market makers and losing money; To experience negative returns on investments and underperform the market; Making losses due to pushing prices too high or low, subsequent reversals, or providing liquidity to institutions selling overvalued stocks; Not being able to have a significant impact on market prices or facing subsequent reversals in price movements; Being unable to influence stock prices significantly or being overshadowed by institutional investors; Market volatility, economic downturns, and making losses in their investments; Market manipulation and being unable to influence stock prices"
Option traders,Investors,Understand and predict option contract prices,Negative impact of option Greeks like gamma on their positions
Short squeezes and gamma squeezes,Financial phenomena,To artificially inflate stock prices through trade-based price manipulation,To fail in their efforts and result in significant losses
Financial bubbles,Economic phenomenon,To create a period of unsustainable accelerating growth through intentional or unintentional means,To experience a sudden collapse in prices and the end of the bubble
"TLRY-Tilray,Inc",Company,Positive trends in the cannabis industry and financial success,Changes in legislation or market conditions affecting the cannabis market negatively
Institutional investors,Group,To maintain dominance and control in financial markets; To manage risk effectively and maintain profitability; To generate high returns on investments; To outperform the market; To drive prices away from fundamental value and benefit from price reversals; To leverage superior information for profitable trades; To make profitable investments and maintain control in the market,"Losing power or influence to retail investors; Facing increased scrutiny and regulation; Being subject to margin calls, short squeezes, or market volatility; Making poor investment decisions resulting in financial losses; Underperforming the market due to herding behavior; Being misrepresented in 13F data; Losing liquidity due to insufficient supply from individual investors; Facing regulatory scrutiny for informational advantage; Loss of investments due to regulatory changes or retail investor influence"
Minute-by-minuteregression,Analysis technique,Accurate and timely analysis of stock market data,Inaccuracies or delays in data affecting decision-making
"TSLA-Tesla,Inc.",Company,Continued growth in electric vehicle market and technological innovation,"Competition, production issues, or market saturation impacting Tesla's performance"
Stock short interest ratio,Concept,Low short interest ratio to avoid potential manipulation and excessive selling pressure; Avoiding short squeezes and maintaining market value,High short interest ratio leading to short squeeze and stock price manipulation; Becoming targets for coordinated buying and price manipulation
Emojis,Symbol,To be correctly interpreted and transformed into words for sentiment analysis,Being misunderstood and affecting the sentiment analysis results
investor sentiment,Concept,To accurately predict market movements and make profitable investment decisions; Positive sentiment towards stocks to increase stock returns; To have asset prices reflect underlying fundamentals; To be less affected by variations in implied volatility and option volumes; To accurately predict market trends based on the sentiment and behavior of investors,"Being influenced by herd behavior, making irrational decisions based on emotions; Negative sentiment towards stocks to decrease stock returns; To have asset prices deviate from underlying fundamentals; Being influenced by spillover effects from option metrics on stock returns and trading volumes; Being invalidated by empirical data, failing to explain market anomalies, or losing relevance in financial analysis"
Text preprocessing and data cleaning,Process,"To streamline text preprocessing and data cleaning to minimize noise in the dataset and reduce computational strain, especially when dealing with big data","Not performing adequate preprocessing, leading to inaccurate sentiment analysis and potentially flawed results"
WallStreetBets dictionary,Text data,Assign accurate sentiment scores to words used on the forum,Misinterpreting words that can have both positive and negative connotations
Investors with short positions,Financial entity,To profit from a decline in stock prices,Being squeezed out of their short positions and incurring significant losses
Stock Market,Market,"Stability, predictability, efficiency, fairness, liquidity, price discovery, transparency, increased trading volumes","Extreme volatility, financial losses, manipulation, exploitation, distorted prices, investor mistrust"
Securities' prices,Financial entity,To increase in value,Being artificially inflated and leading to a market bubble
Commentator,Individual,To provide valuable insights and opinions on stocks,To be misinterpreted or have their comments misused
Market Portfolio,Financial portfolio,To provide positive excess returns for investors; Stable and positive returns,To underperform or provide negative excess returns for investors; Market crashes or economic downturns causing negative returns
Investor sentiment,Concept,To accurately predict market movements and make profitable investment decisions; Positive sentiment towards stocks to increase stock returns; To have asset prices reflect underlying fundamentals; To be less affected by variations in implied volatility and option volumes; To accurately predict market trends based on the sentiment and behavior of investors,"Being influenced by herd behavior, making irrational decisions based on emotions; Negative sentiment towards stocks to decrease stock returns; To have asset prices deviate from underlying fundamentals; Being influenced by spillover effects from option metrics on stock returns and trading volumes; Being invalidated by empirical data, failing to explain market anomalies, or losing relevance in financial analysis"
Option Pricing Models,Concept,Accurate valuation of options,Inaccurate valuation leading to losses
Final dataset,Data collection,Comprehensive and accurate data for individual stocks,Incomplete or inaccurate data affecting regression analysis
Variable definitions,Data classification,Clear definition and understanding of variables used in regression analysis,Confusion or misinterpretation of variables leading to incorrect conclusions
Sentiment analysis package,Analytical technique,Accurately analyze sentiment in text data; To accurately gauge investor sentiment and predict market behavior; To accurately gauge sentiment around specific stocks on WallStreetBets and analyze its impact on stock prices; Accurate assessment of sentiment trends in relation to stock movements; Accurate prediction of stock and option metrics based on sentiment; To accurately gauge the sentiment and opinions of users towards specific stocks,"Providing inaccurate sentiment scores due to informal or vulgar language; Inaccurate predictions leading to poor investment decisions; Inaccurate sentiment analysis leading to wrong conclusions about stock sentiment; Inaccurate or biased sentiment analysis leading to incorrect conclusions; Inaccuracy in predicting market movements, leading to financial losses; To provide misleading or inaccurate insights into user sentiment"
Fama-French Factors,Concept,To accurately capture risk and return characteristics of stocks; To provide a comprehensive analysis of stock returns; To be statistically significant; To accurately capture the statistical relationship between variables,To misrepresent or inaccurately assess risk and return profiles of stocks; Misinterpretation or misuse leading to incorrect investment decisions; To overlook important factors influencing returns; To be insignificant or negatively impact stock returns; Not being able to effectively control for excess return on the market portfolio
Delta,Factor,Accurate prediction of option price changes,Inaccurate prediction leading to incorrect trading decisions
Hedging Strategies,Concept,Reducing risk from price fluctuations,Ineffective hedging leading to losses
Volume,Variable,Higher volume to indicate increased interest and activity in the stock market; to be positively influenced by sentiment; strong positive correlation with sentiment variables and ticker factors,Lower volume to signify decreased interest and activity in the stock market; being affected by limited observations or reverse causality problems; weak or negative correlation with sentiment variables and ticker factors
Gamma Squeeze,Strategy,To contribute to significant increases in stock price,Inadequate call option volume leading to ineffective squeeze
Stock,Financial assets,"To soar in price and increase in value; To have stable and positive returns, high trading and option volumes, and reasonable implied volatility; To generate profits for investors; To have positive abnormal returns compared to expected returns; To experience strong results and high returns; To be traded in a fair and efficient market; To outperform the market and have justified prices based on fundamentals; To be bought at a high price and heavily bought by small traders for positive returns; To have positive returns in subsequent weeks; To have high returns and be heavily bought by individual investors","To plummet in price and decrease in value; To result in financial losses for investors; To be influenced by inaccurate sentiment analysis, leading to volatile market behavior; To have low or negative returns, as well as abnormal returns below expectations; To underperform or have negative outcomes; To be heavily influenced by uncertain sentiment from WallStreetBets; To have negative sentiment and low trading volume leading to decreased returns; To be manipulated as 'penny stocks' with low trading volume and market capitalization; To underperform and lose value over time; To be influenced by coordinated trading, leading to unjustified price levels; To be heavily sold by both small traders and institutions, leading to low returns; To have negative returns in subsequent weeks; To have poor returns prior to the ranking day; To have low returns and be heavily sold by individual investors"
Naked short sellers,Concept,Manipulate stock price for personal gain; To profit from betting on the decline of GME stock; To profit from a decrease in stock prices; Profit from price decrease; Stock prices to decrease to profit from short positions; To profit from a decline in stock prices; Profit from betting on stock price decreases,Legal consequences for engaging in illegal short sale practices; To be identified and targeted by the WallStreetBets community; Being unable to fulfill their obligations due to extreme increases in trading and option volume; Being forced to cover short positions at a loss; Short squeezes and gamma squeezes that lead to significant losses and forced covering of short positions; Being caught in a short squeeze and having to cover their short positions at a loss
PLTR stock,financial asset,to increase in value,to decrease in value
Nasdaq Composite index,Control variable and/or benchmark index,To provide a reliable benchmark for comparison,Being skewed due to being technology-heavy and not reflecting the sector-spread in the sample stocks
Sentiment Analysis,Analytical technique,To accurately gauge investor sentiment and predict market behavior; To accurately gauge sentiment around specific stocks on WallStreetBets and analyze its impact on stock prices; Accurate assessment of sentiment trends in relation to stock movements; Accurate prediction of stock and option metrics based on sentiment; To accurately gauge the sentiment and opinions of users towards specific stocks; Accurately analyze sentiment in text data,"Inaccurate predictions leading to poor investment decisions; Inaccurate sentiment analysis leading to wrong conclusions about stock sentiment; Inaccurate or biased sentiment analysis leading to incorrect conclusions; Inaccuracy in predicting market movements, leading to financial losses; To provide misleading or inaccurate insights into user sentiment; Providing inaccurate sentiment scores due to informal or vulgar language"
Submissions,Data,To provide a comprehensive view of discussions on stocks,Being excluded from the analysis or not being as frequent as comments
Shorted stocks,Financial instrument,"To have high returns, increase in value","To experience low returns, decrease in value, be subject to short squeeze rallies"
Investor,Entity,To make profitable investments and see positive sentiment in the market; Accurate and reliable information about stock value; To freely engage in trades without restrictions; Profit from market rallies and surges in stock prices; To achieve large returns; To make informed investment decisions based on accurate information and genuine market conditions; To generate high returns; To make profitable trades in the stock market,"To incur losses and witness negative sentiment in the market; Making investment decisions based on false information or manipulation; To incur large losses and negative exposure in international financial media; Being limited by margin requirements or trading restrictions that hinder their ability to trade freely; Investors fear losses and missing out on opportunities for profits in the market.; To experience losses or negative returns on their investments due to market fluctuations or poor investment decisions; Being misled by false information, rumors, and manipulated stock prices, resulting in financial losses; Making losses, missing out on opportunities, or being unable to recover from poor investment decisions; Making losses in the stock market or missing out on investment opportunities"
traded put options,financial instrument,to be profitable and have high liquidity,to incur losses and face low liquidity
Fama-French Mkt.RF factor,Concept,To accurately capture the statistical relationship between variables; To accurately capture risk and return characteristics of stocks; To provide a comprehensive analysis of stock returns; To be statistically significant,Not being able to effectively control for excess return on the market portfolio; To misrepresent or inaccurately assess risk and return profiles of stocks; Misinterpretation or misuse leading to incorrect investment decisions; To overlook important factors influencing returns; To be insignificant or negatively impact stock returns
WallStreetBets sentiment,Concept,To positively impact stock performance; To have a significant impact on stock returns and volume; Positive impact on stock returns; To positively influence stock prices,To have no effect on stock performance; To have little explanatory power when it comes to return or to be driven by external forces rather than solely by WallStreetBets; Reverse causality issues impacting interpretation; To negatively impact stock prices
Financial institutions,Entities,"Stability, profitability, and market influence; To have positive returns","Market volatility, financial losses, and regulatory scrutiny; To have negative returns"
Comments,Data,To accurately reflect sentiment and influence on stock fluctuations,Being excluded from the analysis or not being representative of overall sentiment
Sentiment,Variable,"Positive sentiment to have a positive impact on stock returns, correlation with stock return, trading volume, implied volatility, call option volume, and put option volume, to positively influence stock and option metrics, to have a significant impact on trading volume, implied volatility, and option volume, positive sentiment leading to high trading volume and returns, positive sentiment correlating with returns, to have a positive effect on stock returns","Negative sentiment to have a negative impact on stock returns, negative correlation or lack of significance with stock return, trading volume, implied volatility, call option volume, and put option volume, reverse causality problems or limited observations, to have reverse causality or unclear impact on stock returns, not having a significant impact or being affected by reverse causality problems, negative sentiment leading to low trading volume and returns, negative sentiment correlating with losses, to have an unclear or negative effect on stock returns"
stock's logarithmic return minus rate,financial metric,to have positive returns,to have negative returns
Market,Concept,"The market desires stability, efficient pricing, rational responses to market events, fair trading practices, accurate pricing, reflecting true value of stocks, consistent trends for positive returns.","The market fears volatility, irrational behavior, significant deviations from expected outcomes, manipulation by individuals for personal gain, distorted prices, market inefficiencies, disruption by manipulation or deceit, unpredictability resulting in negative returns."
trading volume in number of shares,financial metric,to have high trading volume indicating market interest,to have low trading volume indicating lack of interest or potential price manipulation
Amihud’s illiquidity ratio,financial metric,to have low values indicating high liquidity,to have high values indicating low liquidity
Regression models,Statistical models,Accurate representation of the relationship between variables,Inaccurate or biased results leading to incorrect conclusions
comments per day,Variable,To have high engagement indicating interest and positive sentiment; To have an impact on trading volume,To have low engagement indicating lack of interest or negative sentiment; To be insignificant or to have an unreasonably high coefficient
Market portfolio,Financial portfolio,To provide positive excess returns for investors; Stable and positive returns,To underperform or provide negative excess returns for investors; Market crashes or economic downturns causing negative returns
t values,statistical measure,to be statistically significant,to be statistically insignificant
Mkt.RF,Factor,To have positive excess logarithmic returns on the market portfolio; To be significant at the 1% level,To have negative excess logarithmic returns on the market portfolio; Not being a significant factor in explaining stock returns
Sentiment regression results,Data analysis results,Accurate and reliable analysis outcomes,Inaccurate or misleading analysis outcomes
Strategy,Concept,To generate high returns based on relative mention-weights on WallStreetBets,Underperforming compared to other strategies or failing to capture market trends
Market Weight P Portfolio,Concept,To weigh stocks by relative value-weights and be rebalanced daily based on market capitalization,Failing to capture market trends accurately or losing value compared to mention-weighted strategies
TSLA,concept,To have high returns and positive sentiment,To have low returns and negative sentiment
Fama-French factors,Concept,To accurately capture risk and return characteristics of stocks; To provide a comprehensive analysis of stock returns; To be statistically significant; To accurately capture the statistical relationship between variables,To misrepresent or inaccurately assess risk and return profiles of stocks; Misinterpretation or misuse leading to incorrect investment decisions; To overlook important factors influencing returns; To be insignificant or negatively impact stock returns; Not being able to effectively control for excess return on the market portfolio
